// 8 26
// 9 25
// 9 25.5
// 8 26.5
// The following stables colored squares:
OSO (5, 51) (17, 14606) - 1 5 18 6 21
CS (24, 184) (23, 15873) - 1 5 14 5 1 17 5 1 20 1 5 16 5 1 20 1 5 17 1 5 14 5 1 18
CS (12, 100) (26, 1168) - 1 5 16 5 1 19 5 1 22 1 5 19
CS (20, 188) (27, 24904) - 1 5 16 6 18 6 16 5 1 19 6 16 5 1 20 1 5 16 6 19
OSO (9, 75) (31, 2840) - 1 5 17 1 6 1 17 6 21
CS (36, 220) (36, 2015) - 1 5 12 2 2 2 12 4 12 4 12 2 2 2 12 5 1 17 4 8 2 4 2 12 5 1 18 1 5 12 2 4 2 8 4 17
OSO (9, 71) (38, 22187) - 1 5 15 1 6 1 17 6 19
OSO (9, 73) (38, 1225) - 1 5 15 1 6 1 19 6 19
CS (20, 180) (38, 16051) - 1 5 14 6 19 1 5 14 6 20 6 14 5 1 19 6 14 5 1 18
CS (20, 188) (41, 9228) - 1 5 18 6 17 1 6 1 17 6 18 5 1 21 6 14 4 14 6 21
CS (20, 196) (45, 17359) - 1 5 16 6 21 1 5 18 6 18 5 1 21 6 16 5 1 19 6 19
CS (34, 284) (60, 6789) - 1 5 16 6 20 6 17 1 6 1 17 6 20 6 16 5 1 19 6 18 4 6 2 8 2 4 2 8 2 6 4 18 6 19
CS (36, 332) (66, 1782) - 1 5 12 4 12 4 12 5 1 17 6 18 6 14 4 12 5 1 17 6 18 6 16 6 18 6 17 1 5 12 4 14 6 18 6 17
CS (26, 212) (67, 7497) - 1 5 14 4 10 4 15 1 6 1 15 4 10 4 14 5 1 19 6 16 4 8 4 16 6 19
CS (28, 220) (68, 12906) - 1 5 12 4 14 4 10 4 14 4 12 5 1 17 4 8 4 16 5 1 20 1 5 16 4 8 4 17
CS (26, 208) (72, 9058) - 1 5 14 4 14 5 1 19 6 19 1 5 15 1 6 1 18 1 6 1 15 5 1 19 6 19
CS (36, 268) (72, 8828) - 1 5 12 4 10 2 4 2 6 4 17 1 5 14 6 18 6 18 6 14 5 1 17 4 6 2 4 2 10 4 12 5 1 17 6 17
OSO (13, 95) (73, 8145) - 1 5 14 4 10 2 4 2 8 4 16 6 19 # 2 4
CS (26, 204) (74, 13640) - 1 5 12 4 10 4 15 1 6 1 15 4 10 4 12 5 1 17 6 16 4 8 4 16 6 17
CS (44, 352) (86, 4730) - 1 5 12 4 14 4 12 5 1 17 5 1 21 6 16 5 1 19 4 6 2 8 4 16 5 1 20 1 5 16 4 8 2 6 4 19 1 5 16 6 21 1 5 17
OSNO (10, 98) (95, 1353) - 1 5 16 6 21 1 5 18 6 19
CS (36, 304) (108, 17157) - 1 5 14 4 12 4 12 4 12 4 14 5 1 19 6 18 6 19 1 5 15 1 6 1 18 1 6 1 15 5 1 19 6 18 6 19
CS (72, 428) (111, 1474) - 1 5 12 2 2 2 10 4 14 4 8 2 6 2 4 2 10 4 13 1 7 20 6 16 4 8 2 4 2 8 2 4 2 8 2 4 2 8 2 4 2 8 2 4 2 8 4 16 6 20 7 1 13 4 10 2 4 2 6 2 8 4 14 4 10 2 2 2 12 5 1 18
CS (42, 372) (112, 3788) - 1 5 12 4 12 4 12 4 12 5 1 17 6 18 6 18 6 16 5 1 19 6 16 4 8 2 4 2 8 4 16 6 19 1 5 16 6 18 6 18 6 17
CS (32, 244) (120, 14404) - 1 5 12 4 14 6 19 1 5 14 5 1 19 6 14 4 12 5 1 17 4 6 2 8 4 14 4 8 2 6 4 17
CS (28, 244) (133, 11876) - 1 5 12 4 14 6 19 1 5 14 4 10 4 14 5 1 19 6 14 4 12 5 1 17 6 18 6 17
CS (30, 300) (136, 4896) - 1 5 14 4 14 5 1 19 6 20 6 18 5 1 21 6 18 4 8 4 18 6 21 1 5 18 6 20 6 19
CS (48, 372) (140, 3697) - 1 5 14 4 10 2 2 2 10 4 14 6 19 1 5 14 4 10 4 12 4 12 4 12 4 10 4 14 5 1 19 6 14 4 10 2 2 2 10 4 14 5 1 19 6 16 6 19
CS (64, 612) (142, 2110) - 1 5 16 4 10 4 15 1 6 1 19 6 18 6 21 1 5 18 6 20 6 18 6 20 6 18 5 1 21 6 18 6 19 1 6 1 15 4 10 4 16 5 1 20 1 5 16 5 1 19 6 20 6 18 6 20 6 19 1 5 16 5 1 20
